setting_name,value_type,mobile_pickup,mobile_delivery,mobile_selfcheckout,mobile_quickpay,mobile_preorder_delivery,mobile_preorder_pickup,autonomous_jwo,autonomous_zippin,kiosk_belly_up,kiosk_order_pay_fulfill,pos_belly_up,pos_order_pay_fulfill,pos_wait_staff
kiosk_refund_failed_description,string,,,,,,,,,"Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly.","Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly.",,,
kiosk_not_collected_display_name,string,,,,,,,,,,,,,
kiosk_not_collected_description,string,,,,,,,,,,,,,
pos_queued_display_name,string,,,,,,,,,,,,,
pos_queued_description,string,,,,,,,,,,,,,
pos_processing_display_name,string,,,,,,,,,,,You order has been placed!,You order has been placed!,You order has been placed!
pos_processing_description,string,,,,,,,,,,,"Hi #{first_name}, thank you for your order. We will update this page when your order is ready for pickup from #{location_name}.","Hi #{first_name}, thank you for your order. We will update this page when your order is ready for pickup from #{location_name}.","Hi #{first_name}, thank you for your order. We will update this page when your order is ready for pickup from #{location_name}."
pos_bumped_display_name,string,,,,,,,,,,,,,
pos_bumped_description,string,,,,,,,,,,,,,
pos_assigned_display_name,string,,,,,,,,,,,,,
pos_assigned_description,string,,,,,,,,,,,,,
pos_completed_display_name,string,,,,,,,,,,,Completed!,Completed!,Completed!
pos_completed_description,string,,,,,,,,,,,"Hi #{first_name}, your order has been completed successfully.","Hi #{first_name}, your order has been completed successfully.","Hi #{first_name}, your order has been completed successfully."
pos_refunded_display_name,string,,,,,,,,,,,Your order has been refunded.,Your order has been refunded.,Your order has been refunded.
pos_refunded_description,string,,,,,,,,,,,"Hi #{first_name}, your order has been successfully refunded.","Hi #{first_name}, your order has been successfully refunded.","Hi #{first_name}, your order has been successfully refunded."
pos_partially_refunded_display_name,string,,,,,,,,,,,Partially Refunded,Partially Refunded,Partially Refunded
pos_partially_refunded_description,string,,,,,,,,,,,"Hi #{first_name}, some items within this order have been refunded.","Hi #{first_name}, some items within this order have been refunded.","Hi #{first_name}, some items within this order have been refunded."
pos_authorization_failed_display_name,string,,,,,,,,,,,,,
pos_authorization_failed_description,string,,,,,,,,,,,,,
pos_settlement_failed_display_name,string,,,,,,,,,,,,,
pos_settlement_failed_description,string,,,,,,,,,,,,,
pos_cancelled_display_name,string,,,,,,,,,,,Your order has been cancelled.,Your order has been cancelled.,Your order has been cancelled.
pos_cancelled_description,string,,,,,,,,,,,"Hi #{first_name}, your order has been cancelled.","Hi #{first_name}, your order has been cancelled.","Hi #{first_name}, your order has been cancelled."
pos_delivered_without_alcohol_display_name,string,,,,,,,,,,,,,
pos_delivered_without_alcohol_description,string,,,,,,,,,,,,,
pos_refund_failed_display_name,string,,,,,,,,,,,Refund Attempted,Refund Attempted,Refund Attempted
pos_refund_failed_description,string,,,,,,,,,,,"Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly.","Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly.","Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly."
pos_not_collected_display_name,string,,,,,,,,,,,,,
pos_not_collected_description,string,,,,,,,,,,,,,
selfcheckout_queued_display_name,string,,,,,,,,,,,,,
selfcheckout_queued_description,string,,,,,,,,,,,,,
selfcheckout_processing_display_name,string,,,,,,,,,,,,,
selfcheckout_processing_description,string,,,,,,,,,,,,,
selfcheckout_bumped_display_name,string,,,,,,,,,,,,,
selfcheckout_bumped_description,string,,,,,,,,,,,,,
selfcheckout_assigned_display_name,string,,,,,,,,,,,,,
selfcheckout_assigned_description,string,,,,,,,,,,,,,
selfcheckout_completed_display_name,string,,,Completed!,,,,,,,,,,
selfcheckout_completed_description,string,,,"Hi #{first_name}, your order has been completed successfully.",,,,,,,,,,
selfcheckout_refunded_display_name,string,,,Your order has been refunded.,,,,,,,,,,
selfcheckout_refunded_description,string,,,"Hi #{first_name}, your order has been successfully refunded.",,,,,,,,,,
selfcheckout_partially_refunded_display_name,string,,,Partially Refunded,,,,,,,,,,
selfcheckout_partially_refunded_description,string,,,"Hi #{first_name}, some items within this order have been refunded.",,,,,,,,,,
selfcheckout_authorization_failed_display_name,string,,,Order Submission Failed,,,,,,,,,,
