account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onmenumanager,themitrepub,draco,prd,us-east-1,themitrepub,,vn-spa-instance-onmenumanager-themitrepub,up,,v2.19.2
vnon,onstatus,arrowheadsuites,levy,prd,us-east-1,arrow,,vn-spa-instance-onstatus-arrowheadsuites,up,,v1.3.1
vnon,onpos,betmgmfs,lyra,prd,us-east-1,nationals,,vn-spa-instance-onpos-betmgmfs,up,,
vnon,onpos,3mamfs,lyra,prd,us-east-1,universityofminnesota,,vn-spa-instance-onpos-3mamfs,up,,
vnon,onmenumanager,tokyosushisteakhouse,lyra,prd,us-east-1,tokyosushisteakhouse,,vn-spa-instance-onmenumanager-tokyosushisteakhouse,up,,v2.19.2
vnon,onrefund,berkeleysports,ara,prd,us-east-1,berkeley,,vn-spa-instance-onrefund-berkeleysports,up,,v2.4.3
vnon,onsuitesmanager,jazz,ara,prd,us-east-1,utahjazz,,vn-spa-instance-onsuitesmanager-jazz,up,,v1.7.3
vnon,datanow,dynamo,crux,prd,us-east-1,houstondynamo,,vn-spa-instance-datanow-dynamo,up,,v0.4.1
vnon,onboard,ritotintosuites,levy,prd,us-east-1,slkc,,vn-spa-instance-onboard-ritotintosuites,up,,
vnon,onpos,mudcatsfs,crux,prd,us-east-1,carolinamudcats,,vn-spa-instance-onpos-mudcatsfs,up,,
vnon,onboard,tmobilecentersuites,levy,prd,us-east-1,sprnt,,vn-spa-instance-onboard-tmobilecentersuites,up,,v1.0.2
vnon,datanow,nissansuites,levy,prd,us-east-1,titan,,vn-spa-instance-datanow-nissansuites,up,,v0.4.1
vnon,onsuitesmanager,raiders,ara,prd,us-east-1,oaklandraiders,,vn-spa-instance-onsuitesmanager-raiders,up,,v1.7.3
vnon,onboard,byuconcessionssf,ara,prd,us-east-1,byu,,vn-spa-instance-onboard-byuconcessionssf,up,,v1.0.2
vnon,datanow,nissanstadiumpremium,lyra,prd,us-east-1,nissanstadium,,vn-spa-instance-datanow-nissanstadiumpremium,up,,
vnon,onpos,hilllcats,crux,prd,us-east-1,hillcats,,vn-spa-instance-onpos-hilllcats,up,,
vnon,datanow,peterseneventscenter,lyra,prd,us-east-1,universityofpittsburgh,,vn-spa-instance-datanow-peterseneventscenter,up,,v0.4.1
vnon,onrefund,seatgeektix,crux,prd,us-east-1,seatgeek,,vn-spa-instance-onrefund-seatgeektix,up,,v2.4.3
vnon,datanow,fanpro,draco,prd,us-east-1,fanpro,,vn-spa-instance-datanow-fanpro,up,,v0.4.1
vnon,ordering,possandbox,mars,qa,us-east-1,possandbox,,vn-spa-instance-ordering-possandbox-qa,up,,v1.36.0
vnon,onmenumanager,ptfc,ara,prd,us-east-1,portlandtimbers,,vn-spa-instance-onmenumanager-ptfc,up,,v2.19.2
vnon,datanow,razorbackconcessions,lyra,prd,us-east-1,universityofarkansas,,vn-spa-instance-datanow-razorbackconcessions,up,,v0.4.1
vnon,onrunner,americafirstfield,ara,prd,us-east-1,americafirstfield,,vn-spa-instance-onrunner-americafirstfield,up,,
vnon,onboard,austinfc,crux,prd,us-east-1,austinfc,,vn-spa-instance-onboard-austinfc,up,,v1.0.2
vnon,onloyalty,nrgstadium,lyra,prd,us-east-1,houstontexans,,vn-spa-instance-onloyalty-nrgstadium,up,,v1.4.5
vnon,onsuitesmanager,bluebellpark,ara,prd,us-east-1,texasam,,vn-spa-instance-onsuitesmanager-bluebellpark,up,,v1.7.3
vnon,onpos,olympicsportsvenues,lyra,prd,us-east-1,ohiostate,,vn-spa-instance-onpos-olympicsportsvenues,up,,v2.18.8-qs
vnon,onrunner,nowarena,lyra,prd,us-east-1,searscentre,,vn-spa-instance-onrunner-nowarena,up,,v0.1.1
vnon,onpos,usopenmerch,crux,prd,us-east-1,usopenmobile,,vn-spa-instance-onpos-usopenmerch,up,,v2.18.8-qs
vnon,datanow,nationalbankopen,crux,prd,us-east-1,marigoldsandonions,,vn-spa-instance-datanow-nationalbankopen,up,,v0.4.1
vnon,onsuitesmanager,orioleparksuites,levy,prd,us-east-1,oriol,,vn-spa-instance-onsuitesmanager-orioleparksuites,up,,v1.7.3
vnon,onstatus,roguespoonsjc,ara,prd,us-east-1,roguespoon,,vn-spa-instance-onstatus-roguespoonsjc,up,,v1.3.1
vnon,onsuitesmanager,nascsuites,levy,prd,us-east-1,nasc,,vn-spa-instance-onsuitesmanager-nascsuites,up,,v1.7.3
vnon,onpos,opcy,crux,prd,us-east-1,opcy,,vn-spa-instance-onpos-opcy,up,,v2.18.8-qs
vnon,onrunner,bluejays,lyra,prd,us-east-1,torbluejays,,vn-spa-instance-onrunner-bluejays,up,,v0.1.1
vnon,onpos,opcyfs,crux,prd,us-east-1,opcy,,vn-spa-instance-onpos-opcyfs,up,,
vnon,datanow,tmobilecentersuites,levy,prd,us-east-1,sprnt,,vn-spa-instance-datanow-tmobilecentersuites,up,,v0.4.1
vnon,ordering,tms,lyra,prd,us-east-1,tms,,vn-spa-instance-ordering-tms,up,,v1.39.6
vnon,oncanopy,tmssuites,levy,prd,us-east-1,tms,,vn-spa-instance-oncanopy-tmssuites,up,,v0.1.0
vnon,onrunner,jimmysfishchicken,lyra,prd,us-east-1,jimmysfishchicken,,vn-spa-instance-onrunner-jimmysfishchicken,up,,v0.1.1
vnon,ondevices,tmobilearenasuites,levy,prd,us-east-1,lva,,vn-spa-instance-ondevices-tmobilearenasuites,up,,v0.3.5
vnon,onboard,concertconcessions,lyra,prd,us-east-1,innovationentertainment,,vn-spa-instance-onboard-concertconcessions,up,,v1.0.2
vnon,onstatus,coloniallifearena,crux,prd,us-east-1,southcarolina,,vn-spa-instance-onstatus-coloniallifearena,up,,v1.3.1
vnon,onstatus,microsofttheater,ara,prd,us-east-1,microsofttheater,,vn-spa-instance-onstatus-microsofttheater,up,,v1.3.1
vnon,oncanopy,razorfbsuites,levy,prd,us-east-1,razor,,vn-spa-instance-oncanopy-razorfbsuites,up,,v0.1.0
vnon,ordering,samissions,lyra,prd,us-east-1,samissions,,vn-spa-instance-ordering-samissions,up,,v1.39.6
vnon,onrefund,browardcenter,crux,prd,us-east-1,baabrowardcenter,,vn-spa-instance-onrefund-browardcenter,up,,v2.4.3
vnon,onsuitesmanager,targetcentersuites,levy,prd,us-east-1,twolv,,vn-spa-instance-onsuitesmanager-targetcentersuites,up,,v1.7.3
vnon,onsuitesmanager,cryptoarenasuites,levy,prd,us-east-1,lasc,,vn-spa-instance-onsuitesmanager-cryptoarenasuites,up,,v1.7.3
vnon,onboard,rmfh,lyra,prd,us-east-1,rocketmortgage,,vn-spa-instance-onboard-rmfh,up,,v1.0.2
vnon,ordering,mja1pre,crux,prd,us-east-1,monsterjam,,vn-spa-instance-ordering-mja1pre,up,,v1.39.6
vnon,onpos,jazzfs,ara,prd,us-east-1,utahjazz,,vn-spa-instance-onpos-jazzfs,up,,
vnon,onrunner,dignityhealthsuites,levy,prd,us-east-1,hdc,,vn-spa-instance-onrunner-dignityhealthsuites,up,,v0.1.1
vnon,onrefund,amwaysuites,levy,prd,us-east-1,orena,,vn-spa-instance-onrefund-amwaysuites,up,,v0.1.0
vnon,onrunner,arena,mars,qa,us-east-1,arena,,vn-spa-instance-onrunner-arena-qa,up,,v0.1.1
vnon,ordering,mudcats,crux,prd,us-east-1,carolinamudcats,,vn-spa-instance-ordering-mudcats,up,,v1.39.6
vnon,onrunner,slbees,ara,prd,us-east-1,saltlakebees,,vn-spa-instance-onrunner-slbees,up,,v0.0.7
vnon,onstatus,ush,universal,prd,us-east-1,ush,,vn-spa-instance-onstatus-ush,up,,v1.1.1
vnon,onrunner,snapdragonstadium,ara,prd,us-east-1,sandiegostate,,vn-spa-instance-onrunner-snapdragonstadium,up,,v0.0.7
vnon,datanow,pebblebeach,ara,prd,us-east-1,pebblebeachcompany,,vn-spa-instance-datanow-pebblebeach,up,,v0.4.1
vnon,ondevices,switchbacks,ara,prd,us-east-1,switchbacks,,vn-spa-instance-ondevices-switchbacks,up,,v1.8.4
vnon,onpos,gra,use1a,production,us-east-1,gra,,vn-spa-instance-onpos-gra,up,,v0.6.3
vnon,onrunner,houstonopen,crux,prd,us-east-1,houstonopen,,vn-spa-instance-onrunner-houstonopen,up,,v0.1.1
vnon,onboard,segrafield,crux,prd,us-east-1,segrafield,,vn-spa-instance-onboard-segrafield,up,,v1.0.2
vnon,datanow,byuconcessionsmp,ara,prd,us-east-1,byu,,vn-spa-instance-datanow-byuconcessionsmp,up,,v0.4.1
vnon,onsuitesmanager,kohlcentersuites,levy,prd,us-east-1,uwmbb,,vn-spa-instance-onsuitesmanager-kohlcentersuites,up,,v1.7.3
vnon,ordering,badgers,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-ordering-badgers,up,,v1.39.6
vnon,onmenumanager,innovationentertainment,lyra,prd,us-east-1,innovationentertainment,,vn-spa-instance-onmenumanager-innovationentertainment,up,,v2.19.2
vnon,onstatus,marsgrill,crux,prd,us-east-1,marsgrill,,vn-spa-instance-onstatus-marsgrill,up,,v1.3.1
vnon,onsuitesmanager,byuconcessionssf,ara,prd,us-east-1,byu,,vn-spa-instance-onsuitesmanager-byuconcessionssf,up,,v1.7.3
vnon,onrefund,vnsupportsandbox,mars,qa,us-east-1,vnsupportsandbox,,vn-spa-instance-onrefund-vnsupportsandbox-qa,up,,v0.1.0
vnon,onstatus,berkeleysports,ara,prd,us-east-1,berkeley,,vn-spa-instance-onstatus-berkeleysports,up,,v1.3.1
vnon,onboard,choctawstadium,lyra,prd,us-east-1,choctawstadium,,vn-spa-instance-onboard-choctawstadium,up,,v1.0.2
vnon,onrefund,staplescentersuites,levy,prd,us-east-1,lasc,,vn-spa-instance-onrefund-staplescentersuites,up,,v0.1.0
vnon,ordering,roguespoon,compass,production,us-east-1,amazon,,vn-spa-instance-ordering-roguespoon,up,,
vnon,oncanopy,mizousuites,levy,prd,us-east-1,mizou,,vn-spa-instance-oncanopy-mizousuites,up,,v0.1.0
vnon,ondevices,isusuites,levy,prd,us-east-1,isu,,vn-spa-instance-ondevices-isusuites,up,,v0.3.5
vnon,ordering,utahjazz,usw2a,production,us-east-1,utahjazz,,vn-spa-instance-ordering-utahjazz,up,,v0.7.4
vnon,onstatus,seatgeektix,crux,prd,us-east-1,seatgeek,,vn-spa-instance-onstatus-seatgeektix,up,,v1.3.1
vnon,onrefund,mbcc,ara,prd,us-east-1,luxortheater,,vn-spa-instance-onrefund-mbcc,up,,v2.4.3
vnon,ordering,charlestonbattery,crux,prd,us-east-1,charlestonbattery,,vn-spa-instance-ordering-charlestonbattery,up,,v1.39.6
vnon,ordering,englishfield,crux,prd,us-east-1,virginiatech,,vn-spa-instance-ordering-englishfield,up,,v1.39.6
vnon,onmenumanager,augustwilson,crux,prd,us-east-1,augustwilson,,vn-spa-instance-onmenumanager-augustwilson,up,,v2.19.2
vnon,onpos,attcentersuites,levy,prd,us-east-1,spurs,,vn-spa-instance-onpos-attcentersuites,up,,v1.19.8-ec
vnon,onpos,uridge,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onpos-uridge,up,,v2.18.8-qs
vnon,onrunner,barclayssuites,levy,prd,us-east-1,brook,,vn-spa-instance-onrunner-barclayssuites,up,,v0.1.1
vnon,oncanopy,bankerslifesuites,levy,prd,us-east-1,indy,,vn-spa-instance-oncanopy-bankerslifesuites,up,,v0.1.0
vnon,onstatus,tms,lyra,prd,us-east-1,tms,,vn-spa-instance-onstatus-tms,up,,v1.3.1
