primaryID,balance
13213154,454
145672,440
14557444,2469
8685791,4000
18753773,24000
23034949,8
2394478,20000
18953892,40000
3815001,1000
111067,40000
21912142,2500
12029024,1158
23079264,1841
6162969,15000
23692038,71
1307854,690
811584,11514
3091423,181
22831917,2367
14223373,96
9573165,2553
3861940,50000
22279931,843
12635623,5000
22542503,5100
112585,30000
22075612,5000
23764376,5000
21891895,16000
910448,6210
27451731,2409
26363647,78
5462762,5000
995694,5000
6869387,452
2334029,4488
2396868,303
13195513,1549
22472588,10000
6476895,1000
124080,20000
106249,9326
23528097,4011
23688178,8000
645152,1205
23711497,254
22525723,873
6830384,1591
22563343,3900
26713199,756
10554931,20000
5320320,20000
12447507,1000
1042038,42579
4921483,4364
10108127,1000
24192338,34
1341194,470
846232,240000
22541578,2500
2457978,51451
24687332,30000
16690339,7311
1415270,269
7580100,10000
3011732,3038
24120534,2102
20641213,146
122210,40000
1488673,25000
24378569,121
6266643,20000
10642055,383
17228057,318
12056873,415
18249253,513
1097863,555
5963145,119
22114274,4600
21675714,8834
25826826,5000
22232450,151
138024,40000
8713980,133
455822,939
23371718,2335
6719674,5000
23007447,2000
21618870,2804
103829,15235
11186825,1000
183166,60000
26841717,7800
1832307,10000
23894604,8000
23837912,4000
23719263,1900
454477,5000
1986208,5104
23906892,908
20392486,1474
6452355,20000
23834606,4000
18388211,566
24609742,3402
22777953,446
3564657,13000
21340061,3777
15081955,457
1296194,218
1976149,90000
22919013,1078
20731026,5100
21517826,285
20821726,1700
2019935,521
21751573,3459
21862237,3000
12197027,108
19284442,8671
23914348,340
736116,20000
980854,107751
24030719,8000
987631,651
13300830,207
123981,475
19409905,2500
981470,29677
1063479,722
7476666,60000
26235524,5000
2458489,14487
2463448,1228
23366925,1302
9501066,25000
23126396,291
18504595,6260
26497433,151
23792739,3152
15982659,20971
21096019,1149
151282,13280
23090082,1775
26676311,1134
760032,10589
544098,8150
24256621,459
5405794,20
9658281,2500
27502745,1329
11216426,1000
2454975,20000
6211789,1238
28722504,1230
23948908,10000
23817351,2020
28691929,2500
12160369,40000
24031425,10000
9327681,11607
823042,99
17525527,17858
1651026,28452
111639,20000
472200,40
26382137,1586
174333,20000
23279325,2023
3030125,2432
26339927,20000
22567888,2109
2536522,7500
23455610,399
19824725,3900
21537503,1919
3169220,517
13622507,118944
23887211,448
16280511,519
21987619,846
6115042,80000
23793807,7500
24385937,10000
2464772,18066
4610306,287
23325604,587
28740860,6135
21618342,137
12077214,1013
5799908,2550
2019554,40996
4304458,2500
7739326,10000
23039936,10000
18663944,16000
23943441,2576
3799508,2705
119845,20000
23505644,71
28109568,69
2393520,61
7897025,10000
22780724,11700
24125700,5800
22773414,37
2453720,13390
7775408,20000
13851540,1249
12929199,1408
2098957,8850
26492951,9752
26271162,5000
3890764,38430
22528498,307
123310,519
4499657,20000
27678522,1202
3904185,2500
1045286,1985
22833867,1094
24106299,87
1064154,69
2600080,2153
13731807,193
298488,154
6000121,100000
22310207,972
2039545,10000
10232155,60000
6190312,54440
24541299,20000
735811,6050
688054,49556
20687844,20000
23973614,34
2395097,34555
25152668,5000
19508800,347
24252925,1487
26147799,5000
19476325,1000
10063038,7078
2465369,10000
26442820,1672
23451747,4346
27390881,2500
11235131,678
19853525,7500
27940817,450
7862334,87
28703346,1341
13962451,13167
2453084,10000
21616694,2128
22818193,188
23199048,1000
3084566,7277
2769224,20000
2452995,8313
5301578,10000
115929,16933
19471214,526
3923849,933
18663874,10000
24379250,3900
4873430,20000
23329365,4000
23868119,5000
22532061,605
20636262,2716
8358311,90
23856841,4000
3457620,7500
24099309,31759
17748838,1093
14803514,7800
21037273,80000
2450982,3432
12114516,1
157636,30000
1243691,2254
2455154,3628
11218487,16915
4398337,1
2457358,10000
1471579,30000
10271999,40000
1651588,11457
9417261,28000
3909242,10000
26229860,10000
107745,10000
23871116,54
6799002,5000
112783,40000
123266,2500
23661397,4000
9285067,1000
6211869,10000
23454353,6176
14380682,5000
925048,47374
8147751,1204
23752088,1900
21562872,2500
23591372,8000
26472441,5000
5991994,982
23299923,115894
4764894,228
1337624,515
100980,12277
21983548,5000
3817779,41000
112618,2900
4363952,4162
22291996,5000
9489366,6319
19243426,5000
20589026,20000
24382872,95
20165145,1281
9902197,1017
22590893,3900
113311,120000
523613,15854
987004,25021
118723,60000
110110,20000
3137027,8000
3256651,19489
4147193,5072
5211482,9073
6257574,1395
21878930,5000
22469771,3771
9420456,5000
21744620,43563
23219417,1237
1991987,20000
23130238,115
1652214,120000
6652073,60000
227333,85
19510865,872
22460492,3900
22873006,5850
4310262,1000
14144090,13768
2394684,25000
2730092,20000
7442755,20000
13315761,76703
