account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onpos,soonersfs,lyra,prd,us-east-1,sooners,,vn-spa-instance-onpos-soonersfs,up,,
vnon,datanow,utahjazz,usw2a,production,us-east-1,utahjazz,,vn-spa-instance-datanow-utahjazz,up,,
vnon,ordering,peterseneventscenter,lyra,prd,us-east-1,universityofpittsburgh,,vn-spa-instance-ordering-peterseneventscenter,up,,v1.45.0
vnon,onstatus,mashginqa,mars,qa,us-east-1,mashginqa,,vn-spa-instance-onstatus-mashginqa-qa,up,,v0.1.0
vnon,datanow,mandtbankstadium,crux,prd,us-east-1,mandtbankstadium,,vn-spa-instance-datanow-mandtbankstadium,up,,v1.1.0
vnon,onrunner,augustwilson,crux,prd,us-east-1,augustwilson,,vn-spa-instance-onrunner-augustwilson,up,,v0.1.1
vnon,onboard,uridge,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onboard-uridge,up,,v1.0.2
vnon,onpos,playwrightshorizons,crux,prd,us-east-1,playwrighthorizons,,vn-spa-instance-onpos-playwrightshorizons,up,,v2.25.11-qs
vnon,onstatus,possandbox,mars,qa,us-east-1,possandbox,,vn-spa-instance-onstatus-possandbox-qa,up,,v0.1.0
vnon,onmenumanager,gators,crux,prd,us-east-1,gators,,vn-spa-instance-onmenumanager-gators,up,,v2.22.8
vnon,onstatus,lvballparksuites,levy,prd,us-east-1,vegas,,vn-spa-instance-onstatus-lvballparksuites,up,,v1.3.1
vnon,onrefund,renard,mars,qa,us-east-1,renard,,vn-spa-instance-onrefund-renard-qa,up,,v2.6.0-bcb4f38
vnon,oncanopy,stjamestheatre,crux,prd,us-east-1,stjamestheatre,,vn-spa-instance-oncanopy-stjamestheatre,up,,v0.1.0
vnon,onboard,peoriachiefs,lyra,prd,us-east-1,peoriachiefs,,vn-spa-instance-onboard-peoriachiefs,up,,v1.0.2
vnon,oncanopy,buckeyes,lyra,prd,us-east-1,ohiostate,,vn-spa-instance-oncanopy-buckeyes,up,,v0.1.0
vnon,onstatus,spectrumcentersuites,levy,prd,us-east-1,bcats,,vn-spa-instance-onstatus-spectrumcentersuites,up,,v1.3.1
vnon,onrunner,ndcompton,lyra,prd,us-east-1,universityofnotredame,,vn-spa-instance-onrunner-ndcompton,up,,v0.1.1
vnon,onsuitesmanager,fedexfieldsuites,levy,prd,us-east-1,wash,,vn-spa-instance-onsuitesmanager-fedexfieldsuites,up,,v1.7.7
vnon,ondevices,marlins,crux,prd,us-east-1,marlins,,vn-spa-instance-ondevices-marlins,up,,v1.9.0
vnon,onpos,themusiccenterfs,ara,prd,us-east-1,themusiccenter,,vn-spa-instance-onpos-themusiccenterfs,up,,
vnon,onpos,sixflagsga,sixflags,prd,us-east-1,sixflags,,vn-spa-instance-onpos-sixflagsga,up,,v2.19.19-qs
vnon,datanow,hou,lyra,prd,us-east-1,toyotacenter,,vn-spa-instance-datanow-hou,up,,v1.1.0
vnon,onsuitesmanager,georgiadogs,crux,prd,us-east-1,georgiadogs,,vn-spa-instance-onsuitesmanager-georgiadogs,up,,v1.7.7
vnon,onpos,rockymountainvibesfs,ara,prd,us-east-1,rockymountainvibes,,vn-spa-instance-onpos-rockymountainvibesfs,up,,
vnon,ordering,courtsideclub,lyra,prd,us-east-1,universityofarkansas,,vn-spa-instance-ordering-courtsideclub,up,,v1.45.0
vnon,onstatus,tfana,crux,prd,us-east-1,tfana,,vn-spa-instance-onstatus-tfana,up,,v2.3.0
vnon,datanow,hbs,lyra,prd,us-east-1,universityofminnesota,,vn-spa-instance-datanow-hbs,up,,v1.1.0
vnon,onloyalty,lanestadium,crux,prd,us-east-1,virginiatech,,vn-spa-instance-onloyalty-lanestadium,up,,v1.9.0
vnon,onmenumanager,themitrepub,draco,prd,us-east-1,themitrepub,,vn-spa-instance-onmenumanager-themitrepub,up,,v2.22.8
vnon,onstatus,arrowheadsuites,levy,prd,us-east-1,arrow,,vn-spa-instance-onstatus-arrowheadsuites,up,,v1.3.1
vnon,onpos,betmgmfs,lyra,prd,us-east-1,nationals,,vn-spa-instance-onpos-betmgmfs,up,,
vnon,onstatus,ugacolisum,crux,prd,us-east-1,georgiadogs,,vn-spa-instance-onstatus-ugacolisum,up,,v2.3.0
vnon,onpos,3mamfs,lyra,prd,us-east-1,universityofminnesota,,vn-spa-instance-onpos-3mamfs,up,,
vnon,onrefund,berkeleysports,ara,prd,us-east-1,berkeley,,vn-spa-instance-onrefund-berkeleysports,up,,v2.5.0
vnon,onsuitesmanager,jazz,ara,prd,us-east-1,utahjazz,,vn-spa-instance-onsuitesmanager-jazz,up,,v1.7.7
vnon,onboard,ritotintosuites,levy,prd,us-east-1,slkc,,vn-spa-instance-onboard-ritotintosuites,up,,
vnon,onpos,mudcatsfs,crux,prd,us-east-1,carolinamudcats,,vn-spa-instance-onpos-mudcatsfs,up,,
vnon,onboard,tmobilecentersuites,levy,prd,us-east-1,sprnt,,vn-spa-instance-onboard-tmobilecentersuites,up,,v1.0.2
vnon,datanow,nissansuites,levy,prd,us-east-1,titan,,vn-spa-instance-datanow-nissansuites,up,,
vnon,onboard,byuconcessionssf,ara,prd,us-east-1,byu,,vn-spa-instance-onboard-byuconcessionssf,up,,v1.0.2
vnon,datanow,nissanstadiumpremium,lyra,prd,us-east-1,nissanstadium,,vn-spa-instance-datanow-nissanstadiumpremium,up,,
vnon,datanow,peterseneventscenter,lyra,prd,us-east-1,universityofpittsburgh,,vn-spa-instance-datanow-peterseneventscenter,up,,v1.1.0
vnon,onrefund,seatgeektix,crux,prd,us-east-1,seatgeek,,vn-spa-instance-onrefund-seatgeektix,up,,v2.5.0
vnon,ordering,unipanthers,lyra,prd,us-east-1,unipanthers,,vn-spa-instance-ordering-unipanthers,up,,v1.45.0
vnon,ordering,possandbox,mars,qa,us-east-1,possandbox,,vn-spa-instance-ordering-possandbox-qa,up,,v1.45.0
vnon,onmenumanager,ptfc,ara,prd,us-east-1,portlandtimbers,,vn-spa-instance-onmenumanager-ptfc,up,,v2.22.8
vnon,datanow,razorbackconcessions,lyra,prd,us-east-1,universityofarkansas,,vn-spa-instance-datanow-razorbackconcessions,up,,v1.1.0
vnon,onrunner,americafirstfield,ara,prd,us-east-1,americafirstfield,,vn-spa-instance-onrunner-americafirstfield,up,,v0.0.7
vnon,onboard,austinfc,crux,prd,us-east-1,austinfc,,vn-spa-instance-onboard-austinfc,up,,v1.0.2
vnon,onloyalty,nrgstadium,lyra,prd,us-east-1,houstontexans,,vn-spa-instance-onloyalty-nrgstadium,up,,v1.9.0
vnon,onsuitesmanager,bluebellpark,ara,prd,us-east-1,texasam,,vn-spa-instance-onsuitesmanager-bluebellpark,up,,v1.7.7
